신용등급,2014년말,2015년말,2016년말,2017년말,2018년말,2019년말,2020년말,2021년말
1~3등급,0.023399999999999997,0.0141,0.0091,0.0089,0.0084,0.0109,0.013600000000000001,0.026300000000000004
4등급,0.0833,0.06309999999999999,0.0453,0.045899999999999996,0.044500000000000005,0.042300000000000004,0.0574,0.0487
5등급,0.33990000000000004,0.3066,0.265,0.2848,0.2734,0.25739999999999996,0.3239,0.32170000000000004
6등급,0.5421,0.6059,0.6718999999999999,0.6520999999999999,0.6643000000000001,0.6755,0.5946,0.5952000000000001
7~10등급,0.0115,0.0102,0.0088,0.0083,0.0095,0.0139,0.0106,0.008100000000000001
