,name,code
275,프롬바이오,377220
276,피델릭스,032580
277,피에스엠씨,024850
278,피에스케이,319660
279,피에스케이홀딩스,031980
280,피제이전자,006140
281,필옵틱스,161580
282,하나금융15호스팩,341160
283,하나금융19호스팩,388220
284,하이즈항공,221840
285,한국경제TV,039340
286,한국맥널티,222980
287,한국선재,025550
288,한국제10호스팩,409570
289,한솔인티큐브,070590
290,한양디지텍,078350
291,한화플러스제2호스팩,386580
292,현대무벡스,319400
293,현대바이오,048410
294,현대바이오랜드,052260
295,화성밸브,039610
296,휴림로봇,090710
297,휴먼엔,032860
298,휴온스글로벌,084110
299,희림,037440
300,관악산업,076340
301,굿센,243870
302,나눔테크,244880
303,다원넥스뷰,323350
304,다이오진,271850
305,로지스몬,223220
306,선바이오,067370
307,씨앗,103660
308,에스알바이오텍,270210
309,엘리비젼,276240
310,유투바이오,221800
311,진코스텍,250030
312,큐엠씨,136660
313,타스컴,336040
314,티티씨디펜스,309900
315,CJ대한통운,000120
316,CJ제일제당,097950
317,CS홀딩스,000590
318,F&F 홀딩스,007700
319,GS리테일,007070
320,HDC현대산업개발,294870
321,KB금융,105560
322,KR모터스,000040
323,KTcs,058850
324,LS전선아시아,229640
325,SKC,011790
326,SK디앤디,210980
327,SK렌터카,068400
328,강원랜드,035250
329,경동나비엔,009450
330,교보증권,030610
331,금강공업,014280
332,금호건설,002990
333,금호전기,001210
334,기업은행,024110
335,남성,004270
336,대구백화점,006370
337,대원제약,003220
338,대한방직,001070
339,대한해운,005880
340,덕양산업,024900
341,동아지질,028100
342,동양생명,082640
343,동원금속,018500
344,디씨엠,024090
345,디아이,003160
346,디앤디플랫폼리츠,377190
347,디티알오토모티브,007340
348,롯데정밀화학,004000
349,무학,033920
350,백산,035150
351,보락,002760
352,빙그레,005180
353,사조대림,003960
354,삼부토건,001470
355,서원,021050
356,선도전기,007610
357,세기상사,002420
358,세방,004360
359,세아홀딩스,058650
360,세우글로벌,013000
361,세이브존I&C,067830
362,솔루스첨단소재,336370
363,신송홀딩스,006880
364,신일전자,002700
365,쎌마테라퓨틱스,015540
366,아모레퍼시픽,090430
367,아이마켓코리아,122900
368,아이에이치큐,003560
369,에스디바이오센서,137310
370,엔씨소프트,036570
371,영보화학,014440
372,유니온머티리얼,047400
373,이수화학,005950
374,이스타코,015020
375,인디에프,014990
376,인천도시가스,034590
377,일동홀딩스,000230
378,일진디스플,020760
379,조흥,002600
380,지엠비코리아,013870
381,지코,010580
382,카카오뱅크,323410
383,코리아써키트,007810
384,코스모화학,005420
385,코아스,071950
386,코오롱,002020
387,코오롱플라스틱,138490
388,쿠쿠홀딩스,192400
389,큐로,015590
390,크래프톤,259960
391,태광산업,003240
392,태영건설,009410
393,티비에이치글로벌,084870
394,포스코케미칼,003670
395,하나투어,039130
396,하이트진로,000080
397,한국금융지주,071050
398,한국전자홀딩스,006200
399,한국조선해양,009540
400,한국종합기술,023350
401,한국주철관공업,000970
402,한국타이어앤테크놀로지,161390
403,한국프랜지공업,010100
404,한온시스템,018880
405,한올바이오파마,009420
406,한일시멘트,300720
407,해태제과식품,101530
408,호텔신라,008770
409,화승알앤에이,378850
410,화승인더스트리,006060
411,화천기공,000850
412,환인제약,016580
413,효성,004800
414,효성화학,298000
415,흥국화재,000540
416,APS홀딩스,054620
417,CBI,013720
418,CS,065770
419,CSA 코스믹,083660
420,HLB생명과학,067630
421,HRS,036640
422,NHN벅스,104200
423,NICE평가정보,030190
424,SNK,950180
425,TS트릴리온,317240
426,갤럭시아머니트리,094480
427,고영,098460
428,골드앤에스,035290
429,광림,014200
430,국영지앤엠,006050
431,금강철강,053260
432,나노엔텍,039860
433,나이벡,138610
434,남화토건,091590
435,네오팜,092730
436,넥스틴,348210
437,넵튠,217270
438,노바렉스,194700
439,누리플렉스,040160
440,뉴로스,126870
441,뉴파워프라즈마,144960
442,대성파인텍,104040
443,대아티아이,045390
444,대양제지,006580
445,대창솔루션,096350
446,대한과학,131220
447,더네이쳐홀딩스,298540
448,덕산네오룩스,213420
449,동국산업,005160
450,동방선기,099410
451,동아엘텍,088130
452,동원개발,013120
453,디딤,217620
454,디아크,078590
455,디알텍,214680
456,디엔에프,092070
457,디오,039840
458,딜리,131180
459,딥노이드,315640
460,레드캡투어,038390
461,레이언스,228850
462,로보로보,215100
463,맘스터치,220630
464,매일홀딩스,005990
465,머큐리,100590
466,메가엠디,133750
467,메디콕스,054180
468,메디프론,065650
469,메타바이오메드,059210
470,멕아이씨에스,058110
471,모두투어,080160
472,무림SP,001810
473,미래에셋벤처투자,100790
474,바이오로그디바이스,208710
475,부스타,008470
476,뷰노,338220
477,비덴트,121800
478,비트컴퓨터,032850
479,비피도,238200
480,삼륭물산,014970
481,삼성스팩4호,377630
482,삼양옵틱스,225190
483,삼일기업공사,002290
484,삼표시멘트,038500
485,삼화네트웍스,046390
486,상보,027580
487,상상인이안제2호스팩,329560
488,상신이디피,091580
489,상지카일룸,042940
490,서울리거,043710
491,선데이토즈,123420
492,성우하이텍,015750
493,세경하이테크,148150
494,세명전기,017510
495,셀바스AI,108860
496,솔고바이오,043100
497,솔루에타,154040
498,솔브레인,357780
499,솔브레인홀딩스,036830
500,슈프리마,236200
501,신라섬유,001000
502,신한제6호스팩,333050
503,싸이맥스,160980
504,쎄트렉아이,099320
505,씨앤씨인터내셔널,352480
506,씨앤투스성진,352700
507,아가방컴퍼니,013990
508,아모그린텍,125210
509,아모텍,052710
510,아미코젠,092040
511,아스플로,159010
512,아이엠,101390
513,아이퀘스트,262840
514,안국약품,001540
515,액트로,290740
516,얍엑스,060230
517,에스맥,097780
518,에스엘바이오닉스,214310
519,에스티팜,237690
520,에코마케팅,230360
521,에프알텍,073540
522,엔투텍,227950
523,엠에프엠코리아,323230
524,엠투엔,033310
525,영신금속,007530
526,영풍정밀,036560
527,예림당,036000
528,와이더플래닛,321820
529,와이지-원,019210
530,우리손에프앤지,073560
531,우림피티에스,101170
532,우수AMS,066590
533,원일특강,012620
534,위니아딤채,071460
535,윈하이텍,192390
536,윌링스,313760
537,유니테스트,086390
538,유안타제8호스팩,367480
539,유에스티,263770
540,이글루시큐리티,067920
541,이글벳,044960
542,이녹스,088390
543,이더블유케이,258610
544,이랜시스,264850
545,이삭엔지니어링,351330
546,이엔코퍼레이션,066980
547,이지케어텍,099750
548,인선이엔티,060150
549,인트론바이오,048530
550,인포뱅크,039290
551,전진바이오팜,110020
552,정다운,208140
553,정산애강,022220
554,정원엔시스,045510
555,제놀루션,225220
556,제이시스메디칼,287410
557,제일제강,023440
558,조이시티,067000
559,지니뮤직,043610
560,지니틱스,303030
561,천보,278280
562,케이씨피드,025880
563,케이엔더블유,105330
564,코다코,046070
565,코데즈컴바인,047770
566,코드네이처,078940
567,코리아센터,290510
568,코리아에셋투자증권,190650
569,코메론,049430
570,코미팜,041960
571,코아시아,045970
572,코아시아옵틱스,196450
573,코위버,056360
574,크루셜텍,114120
575,클리노믹스,352770
576,태광,023160
577,테고사이언스,191420
578,테라사이언스,073640
579,테라젠이텍스,066700
580,토박스코리아,215480
581,티엘아이,062860
582,파루,043200
583,파멥신,208340
584,파수,150900
585,파이버프로,368770
586,파인디지털,038950
587,파트론,091700
588,팬엔터테인먼트,068050
589,펌텍코리아,251970
590,풍강,093380
591,플레이디,237820
592,피엔티,137400
593,피코그램,376180
594,픽셀플러스,087600
595,핌스,347770
596,핑거,163730
597,하나금융14호스팩,332710
598,하이제7호스팩,400840
599,한국정보인증,053300
600,한국컴퓨터,054040
601,한국코퍼레이션,050540
602,한빛소프트,047080
603,한일단조,024740
604,한일화학,007770
605,한컴MDS,086960
606,현대이지웰,090850
607,현진소재,053660
608,형지I&C,011080
609,휴네시온,290270
610,흥국에프엔비,189980
611,노드메이슨,317860
612,단디바이오,343090
613,대주이엔티,114920
614,메디안디노스틱,233250
615,미애부,225850
616,바이오시네틱스,281310
617,바이오프로테크,199290
618,앙츠,267810
619,에이치엔에스하이텍,044990
620,이노벡스,279060
621,제이엠멀티,254160
622,테크엔,308700
623,테크트랜스,258050
624,펨토바이오메드,327610
625,피노텍,150440
626,BGF리테일,282330
627,BNK금융지주,138930
628,GS건설,006360
629,JW중외제약,001060
630,KC코트렐,119650
631,LG전자,066570
632,PI첨단소재,178920
633,SBS,034120
634,SG글로벌,001380
635,SHD,001770
636,SK,034730
637,SK가스,018670
638,SK리츠,395400
639,STX중공업,071970
640,YG PLUS,037270
641,국제약품,002720
642,금양,001570
643,금호타이어,073240
644,넥센타이어,002350
645,녹십자홀딩스,005250
646,농심홀딩스,072710
647,다스코,058730
648,다이나믹디자인,145210
649,대한유화,006650
650,더블유게임즈,192080
651,동방아그로,007590
652,동서,026960
653,동성케미컬,102260
654,동양,001520
655,동양철관,008970
656,동원F&B,049770
657,동원시스템즈,014820
658,디와이,013570
659,롯데푸드,002270
660,마니커,027740
661,맥쿼리인프라,088980
662,메리츠금융지주,138040
663,메타랩스,090370
664,모토닉,009680
665,미래에셋생명,085620
666,미원화학,134380
667,범양건영,002410
668,베트남개발1,096300
669,삼성바이오로직스,207940
670,삼성증권,016360
671,삼성카드,029780
672,삼양통상,002170
673,삼영무역,002810
674,삼일제약,000520
675,삼정펄프,009770
676,샘표식품,248170
677,서연이화,200880
678,성보화학,003080
679,세아제강,306200
680,센트럴인사이트,012600
681,송원산업,004430
682,수산중공업,017550
683,신성이엔지,011930
684,신세계인터내셔날,031430
685,신세계푸드,031440
686,신한서부티엔디리츠,404990
687,쌍용씨앤이,003410
688,씨아이테크,004920
689,아이에스동서,010780
690,아주스틸,139990
691,애경산업,018250
692,애경케미칼,161000
693,에이프로젠 MED,007460
694,엔에이치엔,181710
695,엠씨넥스,097520
696,우성,006980
697,유니켐,011330
698,유화증권,003460
699,이구산업,025820
700,이노션,214320
701,이마트,139480
702,일성신약,003120
703,제이에스코퍼레이션,194370
704,제이준코스메틱,025620
705,종근당바이오,063160
706,지누스,013890
707,지투알,035000
708,진도,088790
709,진양화학,051630
710,케이탑리츠,145270
711,코스모신소재,005070
712,태평양물산,007980
713,텔코웨어,078000
714,티와이홀딩스,363280
715,팜스코,036580
716,하이골드3호,153360
717,하이트론씨스템즈,019490
718,한국수출포장공업,002200
719,한국자산신탁,123890
720,한국전력공사,015760
721,한국주강,025890
722,한국항공우주,047810
723,한라홀딩스,060980
724,한솔홀딩스,004150
725,한신기계공업,011700
726,한진칼,180640
727,한화에어로스페이스,012450
728,현대글로비스,086280
729,현대중공업,329180
730,현대퓨처넷,126560
731,효성 ITX,094280
732,휴니드테크놀러지스,005870
733,CNT85,056730
734,KBI메탈,024840
735,KCC건설,021320
736,KCI,036670
737,KG ETS,151860
738,NEW,160550
739,SBI핀테크솔루션즈,950110
740,SGA솔루션즈,184230
741,THQ,192410
742,WI,073570
743,iMBC,052220
744,가온미디어,078890
745,강원에너지,114190
746,고려시멘트,198440
747,고려제약,014570
748,국일신동,060480
749,국전약품,307750
750,나노,187790
751,나노신소재,121600
752,나무가,190510
753,나인테크,267320
754,남화산업,111710
755,넥스트아이,137940
756,노터스,278650
757,녹원씨엔아이,065560
758,다산네트웍스,039560
759,대명소노시즌,007720
760,대성미생물,036480
761,대원산업,005710
762,더블유에스아이,299170
763,도이치모터스,067990
764,동국제약,086450
765,동일기연,032960
766,듀오백,073190
767,드래곤플라이,030350
768,디지아이,043360
769,디지털대성,068930
770,디케이락,105740
771,디티앤씨,187220
772,래몽래인,200350
773,레고켐바이오,141080
774,레드로버,060300
775,로보스타,090360
776,루멘스,038060
777,리더스 기술투자,019570
778,리드코프,012700
779,메디앙스,014100
780,미래컴퍼니,049950
781,바이옵트로,222160
782,박셀바이오,323990
783,베셀,177350
784,보라티알,250000
785,브레인즈컴퍼니,099390
786,브리지텍,064480
787,브이티지엠피,018290
788,비즈니스온,138580
789,비투엔,307870
790,삼목에스폼,018310
791,삼진엘앤디,054090
792,삼천리자전거,024950
793,삼현철강,017480
794,서산,079650
795,서전기전,189860
796,서진오토모티브,122690
797,성호전자,043260
798,세영디앤씨,052190
799,세운메디칼,100700
800,세종메디칼,258830
801,세종텔레콤,036630
802,스카이이앤엠,131100
803,스킨앤스킨,159910
804,시공테크,020710
805,시큐브,131090
806,신도기연,290520
807,신일제약,012790
808,신테카바이오,226330
809,쎄노텍,222420
810,씨큐브,101240
811,씨티케이,260930
812,아모센스,357580
813,아이디피,332370
814,아이씨디,040910
815,아즈텍WB,032080
816,아진산업,013310
817,알체라,347860
818,알티캐스트,085810
819,애니젠,196300
820,얼라인드,238120
821,에브리봇,270660
822,에스앤디,260970
823,에스제이그룹,306040
824,에스트래픽,234300
825,에이디칩스,054630
826,에이루트,096690
827,에이비엘바이오,298380
828,에이스침대,003800
829,엑셈,205100
830,엔지스테크널러지,208860
831,엔지켐생명과학,183490
832,엔텔스,069410
833,엘디티,096870
834,영림원소프트랩,060850
835,오스템임플란트,048260
836,오텍,067170
837,와이즈버즈,273060
838,원익QnC,074600
839,원익머트리얼즈,104830
840,원풍,008370
841,웹젠,069080
842,위닉스,044340
843,위메이드,112040
844,위메이드맥스,101730
845,유비벨록스,089850
846,유비쿼스,264450
847,유비쿼스홀딩스,078070
848,유아이엘,049520
849,유진스팩7호,388800
850,유진테크,084370
851,유틸렉스,263050
852,이건홀딩스,039020
853,이노와이어리스,073490
854,이랜텍,054210
855,이미지스,115610
856,이화전기,024810
857,인바디,041830
858,인산가,277410
859,인성정보,033230
860,인트로메딕,150840
861,자이언트스텝,289220
862,재영솔루텍,049630
863,제이앤티씨,204270
864,제이티,089790
865,제일테크노스,038010
866,중앙디앤엠,051980
867,진바이오텍,086060
868,진성티이씨,036890
869,초록뱀미디어,047820
870,캐리소프트,317530
871,캠시스,050110
872,컴투스홀딩스,063080
873,케어젠,214370
874,케이비제19호스팩,330990
875,케이피에프,024880
876,코디엠,224060
877,코스맥스엔비티,222040
878,코스메카코리아,241710
879,코이즈,121850
880,코프라,126600
881,쿠콘,294570
882,태양,053620
883,태웅로직스,124560
884,토비스,051360
885,트윔,290090
886,티비씨,033830
887,티엘비,356860
888,티케이케미칼,104480
889,파나진,046210
890,파버나인,177830
891,파워넷,037030
892,퓨런티어,370090
893,프로이천,321260
894,프로텍,053610
895,플래티어,367000
896,피에이치에이,043370
897,하나금융16호스팩,343510
898,하이제5호스팩,340120
899,한국정보통신,025770
900,한국캐피탈,023760
901,한일네트웍스,046110
902,해성옵틱스,076610
903,현우산업,092300
904,KC산업,112190
905,럭스피아,092590
906,무진메디,322970
907,씨앤에스링크,245450
908,에스제이켐,217910
909,이십일스토어,270020
910,태양기계,116100
911,한중엔시에스,107640
912,AJ네트웍스,095570
913,DL건설,001880
914,DSR제강,069730
915,ESR켄달스퀘어리츠,365550
916,HJ중공업,097230
917,KPX홀딩스,092230
918,KSS해운,044450
919,LG생활건강,051900
920,LG화학,051910
921,LIG넥스원,079550
922,LS,006260
923,NH투자증권,005940
924,NICE,034310
925,NI스틸,008260
926,SH에너지화학,002360
927,SK네트웍스,001740
928,SK증권,001510
929,SK텔레콤,017670
930,SNT에너지,100840
931,경인양행,012610
932,경인전자,009140
933,기신정기,092440
934,까뮤이앤씨,013700
935,농심,004370
936,대덕,008060
937,대동전자,008110
938,대림비앤코,005750
939,대성에너지,117580
940,대양금속,009190
941,대영포장,014160
942,대웅제약,069620
943,대창,012800
944,대한전선,001440
945,대한항공,003490
946,동국제강,001230
947,동화약품,000020
948,두산,000150
949,두산밥캣,241560
950,디아이동일,001530
951,디아이씨,092200
952,롯데관광개발,032350
953,롯데칠성음료,005300
954,롯데케미칼,011170
955,만도,204320
956,맵스리얼티1,094800
957,미래아이앤지,007120
958,미래에셋글로벌리츠,396690
959,바다로19호,155900
960,부광약품,003000
961,부산산업,011390
962,부산주공,005030
963,사조산업,007160
964,사조씨푸드,014710
965,삼성제약,001360
966,삼원강재,023000
967,삼익THK,004380
968,삼화왕관,004450
969,서연,007860
970,세아베스틸,001430
971,세아특수강,019440
972,세원정공,021820
973,세진중공업,075580
974,셀트리온,068270
975,신성통상,005390
976,써니전자,004770
977,아세아제지,002310
978,에넥스,011090
979,에스제이엠,123700
980,엔케이,085310
981,엔피씨,004250
982,영원무역,111770
983,영원무역홀딩스,009970
984,영진약품,003520
985,용평리조트,070960
986,우리들휴브레인,118000
987,우신시스템,017370
988,우진플라임,049800
989,유니드,014830
990,유안타증권,003470
991,유진증권,001200
992,이건산업,008250
993,이연제약,102460
994,인스코비,006490
995,제주은행,006220
996,조광페인트,004910
997,조선내화,000480
998,참엔지니어링,009310
999,케이씨씨,002380
1000,케이씨씨글라스,344820
1001,코오롱글로벌,003070
1002,태경케미컬,006890
1003,토니모리,214420
1004,페이퍼코리아,001020
1005,플레이그램,009810
1006,하나제약,293480
1007,하이스틸,071090
1008,한국공항,005430
1009,한국내화,010040
1010,한국철강,104700
1011,한국콜마,161890
1012,한미글로벌,053690
1013,한솔피엔에스,010420
1014,한신공영,004960
1015,한양증권,001750
1016,한진,002320
1017,한진중공업홀딩스,003480
1018,한화,000880
1019,현대건설기계,267270
1020,현대두산인프라코어,042670
1021,현대에너지솔루션,322000
1022,현대일렉트릭,267260
1023,현대제철,004020
1024,화승코퍼레이션,013520
1025,황금에스티,032560
1026,효성중공업,298040
1027,효성첨단소재,298050
1028,DSC인베스트먼트,241520
