은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.04,3.62,4.24,5.22,6.41,4.40,
BNK부산은행,대출금리,3.54,3.87,4.00,4.54,6.26,4.08,
DGB대구은행,대출금리,3.42,3.59,4.15,4.68,5.51,4.08,
IBK기업은행,대출금리,3.04,3.35,3.56,3.62,3.37,3.40,
KB국민은행,대출금리,3.25,3.47,3.66,4.98,5.14,3.77,
KDB산업은행,대출금리,3.04,3.02,3.52,3.77,4.78,3.46,
NH농협은행,대출금리,3.32,3.53,3.86,4.38,4.50,3.80,
SH수협은행,대출금리,3.73,4.09,4.27,4.43,3.93,4.11,
광주은행,대출금리,3.99,3.80,4.30,5.09,5.32,4.61,
스탠다드차타드은행,대출금리,-,3.07,3.10,3.48,3.28,3.22,
신한은행,대출금리,3.34,3.55,3.91,4.78,4.84,3.72,
우리은행,대출금리,3.15,3.35,3.70,4.43,7.81,3.71,
전북은행,대출금리,3.72,3.99,4.15,4.47,4.11,4.05,
제주은행,대출금리,3.98,3.97,4.33,4.80,4.78,4.12,
하나은행,대출금리,3.40,3.56,3.61,4.15,4.96,3.77,
한국씨티은행,대출금리,3.38,3.37,3.44,3.57,3.85,3.57,
