은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,2.97,3.43,4.00,4.83,6.62,4.08,
BNK부산은행,대출금리,3.43,3.66,3.88,4.34,5.58,3.93,
DGB대구은행,대출금리,3.27,3.35,3.85,4.38,5.24,3.91,
IBK기업은행,대출금리,2.87,3.17,3.32,3.36,3.24,3.20,
KB국민은행,대출금리,2.87,3.24,3.38,4.47,4.63,3.54,
KDB산업은행,대출금리,2.80,3.08,4.14,4.14,3.58,3.68,
NH농협은행,대출금리,3.23,3.39,3.70,4.35,5.13,3.64,
SH수협은행,대출금리,3.55,3.51,3.90,4.62,4.22,3.85,
광주은행,대출금리,3.65,3.89,4.27,4.74,6.37,4.08,
스탠다드차타드은행,대출금리,-,3.11,2.91,3.20,4.29,3.04,
신한은행,대출금리,3.11,3.33,3.70,5.07,4.74,3.53,
우리은행,대출금리,2.91,3.17,3.68,4.76,5.28,3.51,
전북은행,대출금리,3.55,3.68,3.77,4.05,3.82,3.74,
제주은행,대출금리,3.60,3.79,4.23,5.31,2.92,4.02,
하나은행,대출금리,3.25,3.30,3.46,4.13,4.43,3.62,
한국씨티은행,대출금리,3.21,2.98,3.36,3.02,3.72,3.38,
