은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.84,3.85,5.47,6.93,6.95,5.41,
BNK부산은행,대출금리,4.35,4.51,5.19,5.30,5.49,4.99,
DGB대구은행,대출금리,3.66,4.14,4.71,5.82,5.90,4.96,
IBK기업은행,대출금리,3.91,4.92,6.15,8.50,7.43,6.07,
KB국민은행,대출금리,3.71,4.22,6.29,9.59,9.87,6.86,
KDB산업은행,대출금리,3.15,3.77,5.24,8.52,11.85,4.20,
NH농협은행,대출금리,3.65,4.31,5.50,8.88,9.10,5.32,
SH수협은행,대출금리,4.19,4.39,5.16,6.70,9.52,5.16,
광주은행,대출금리,4.04,4.99,4.99,6.58,8.48,5.24,
스탠다드차타드은행,대출금리,-,2.92,7.45,6.54,6.78,6.61,
신한은행,대출금리,2.92,3.42,4.55,7.21,9.92,4.35,
우리은행,대출금리,3.20,3.73,5.57,9.18,8.74,5.20,
전북은행,대출금리,4.44,4.99,6.51,9.39,12.31,6.49,
제주은행,대출금리,3.58,4.40,4.40,6.62,12.23,5.19,
하나은행,대출금리,4.60,4.27,4.95,7.15,8.32,4.92,
한국씨티은행,대출금리,3.39,2.96,3.45,3.45,3.85,3.83,
