은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,5.24,5.08,5.76,4.66,9.34,5.28,
BNK부산은행,대출금리,4.44,4.79,5.05,6.98,8.08,5.53,
DGB대구은행,대출금리,4.72,5.06,5.59,6.40,7.35,5.71,
IBK기업은행,대출금리,4.62,5.44,6.62,8.99,8.66,6.29,
KB국민은행,대출금리,3.81,4.63,6.35,9.85,11.37,6.60,
KDB산업은행,대출금리,3.24,4.29,5.15,-,12.05,4.60,
NH농협은행,대출금리,3.89,5.03,5.88,9.36,-,4.86,
SH수협은행,대출금리,4.39,5.07,5.91,6.90,14.02,5.44,
광주은행,대출금리,4.49,4.91,5.57,6.02,6.89,5.78,
스탠다드차타드은행,대출금리,-,3.09,5.12,4.61,10.01,4.99,
신한은행,대출금리,3.49,3.96,4.83,8.19,10.19,4.82,
우리은행,대출금리,3.43,4.18,5.61,10.44,10.85,4.83,
전북은행,대출금리,5.12,5.75,7.05,11.10,13.72,7.09,
제주은행,대출금리,3.69,4.43,5.51,8.75,-,4.96,
하나은행,대출금리,4.02,4.36,5.21,7.19,6.40,4.90,
한국씨티은행,대출금리,3.75,3.40,3.80,-,12.79,4.35,
