은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.11,3.44,4.14,5.30,6.57,4.11,
BNK부산은행,대출금리,3.64,4.39,4.77,5.12,6.35,4.47,
DGB대구은행,대출금리,3.55,3.84,4.55,5.88,6.35,4.63,
IBK기업은행,대출금리,3.38,4.43,6.13,8.98,7.45,5.61,
KB국민은행,대출금리,2.84,3.87,5.68,9.68,6.20,4.88,
KDB산업은행,대출금리,2.62,3.50,3.76,6.79,7.67,3.51,
NH농협은행,대출금리,3.35,3.98,5.23,8.02,9.76,4.66,
SH수협은행,대출금리,3.69,4.04,4.31,8.16,13.17,4.54,
광주은행,대출금리,4.08,4.69,5.08,6.06,6.11,5.06,
스탠다드차타드은행,대출금리,-,2.81,6.44,8.53,2.52,5.15,
신한은행,대출금리,2.89,3.40,4.47,7.67,7.58,4.23,
우리은행,대출금리,2.91,3.60,4.91,9.68,10.89,4.76,
전북은행,대출금리,4.93,5.12,6.55,10.49,10.70,6.17,
제주은행,대출금리,3.82,4.13,5.09,7.96,13.50,4.99,
하나은행,대출금리,3.04,3.68,4.65,5.90,8.50,4.03,
한국씨티은행,대출금리,3.70,3.84,3.28,-,-,4.20,
