은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,4.44,4.45,5.17,6.52,7.00,4.68,
BNK부산은행,대출금리,4.06,4.35,4.77,6.21,6.41,4.47,
DGB대구은행,대출금리,4.14,4.61,5.05,6.81,9.16,5.21,
IBK기업은행,대출금리,4.32,5.02,6.63,9.31,8.59,6.09,
KB국민은행,대출금리,3.53,4.38,5.94,10.01,8.11,5.21,
KDB산업은행,대출금리,2.87,3.44,4.46,6.04,9.05,3.53,
NH농협은행,대출금리,3.74,4.36,5.04,8.29,11.38,4.34,
SH수협은행,대출금리,3.93,4.99,4.43,7.74,15.06,4.68,
광주은행,대출금리,4.66,5.03,5.58,7.39,6.82,5.57,
스탠다드차타드은행,대출금리,-,3.20,3.89,9.18,2.30,3.43,
신한은행,대출금리,3.44,3.80,5.04,8.85,10.77,4.72,
우리은행,대출금리,3.43,4.04,5.51,10.16,11.72,4.88,
전북은행,대출금리,5.24,5.76,7.38,11.49,13.23,6.83,
제주은행,대출금리,3.86,4.10,4.76,5.05,13.48,4.62,
하나은행,대출금리,3.71,4.22,5.12,7.49,11.76,4.40,
한국씨티은행,대출금리,3.60,4.27,4.57,-,-,4.89,
