,구성 비율,누적비율
1~2 grade,0.5014891594458545,0.5014891594458545
3~4 grade,0.16169979685198257,0.663188956297837
5~6 grade,0.28188880185737003,0.945077758155207
7~8grade,0.01191526433617008,0.9569930224913771
9~10 grade,0.04300697750862284,0.9999999999999999
