은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,4.96,5.23,5.86,7.74,13.07,5.43,
BNK부산은행,대출금리,4.73,4.79,5.26,5.91,7.06,5.14,
DGB대구은행,대출금리,5.08,5.14,5.54,6.98,8.03,5.69,
IBK기업은행,대출금리,4.88,5.75,6.95,9.06,8.73,6.42,
KB국민은행,대출금리,3.87,4.74,6.29,10.41,8.06,5.67,
KDB산업은행,대출금리,3.59,3.85,4.30,7.31,8.57,4.36,
NH농협은행,대출금리,4.29,5.24,6.23,9.08,11.50,5.08,
SH수협은행,대출금리,4.48,5.30,4.87,9.10,14.29,6.46,
광주은행,대출금리,4.92,5.23,6.24,7.78,8.96,6.27,
스탠다드차타드은행,대출금리,-,3.23,5.03,-,6.04,3.79,
신한은행,대출금리,3.79,4.11,5.17,9.58,10.53,4.93,
우리은행,대출금리,3.72,4.38,5.81,10.37,12.91,5.11,
전북은행,대출금리,5.81,6.48,7.92,11.93,14.00,7.48,
제주은행,대출금리,-,4.58,5.31,7.56,13.50,4.99,
하나은행,대출금리,4.06,4.44,5.38,8.06,11.50,5.06,
한국씨티은행,대출금리,4.40,3.19,4.39,-,-,5.03,4등급 : 거래실적 우대(전체 1건)
