Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-04,32438.3058984187,37235.52112979401,32438.3058984187,35590.76171875,135433,2632.2966,0.0
2000-01-05,34311.50587985015,35179.570455589026,33443.43791414772,34083.06640625,150723,0.0,0.0
2000-01-06,34951.137225221304,35819.201871825455,32118.493623268354,32255.556640625,112202,0.0,0.0
2000-01-07,32301.240710064845,33214.99512324181,31981.424800973142,32712.4296875,124966,0.0,0.0
2000-01-10,32895.18359375,33808.941518546104,32529.68449178795,32895.18359375,171010,0.0,0.0
2000-01-11,32895.17922903277,33123.618679921165,31570.235837821205,31935.73828125,187744,0.0,0.0
2000-01-12,31935.73831446456,31935.73831446456,30199.602553862944,30610.794921875,156764,0.0,0.0
2000-01-13,30747.857906278943,30976.293967380203,29697.037109375,29697.037109375,155947,0.0,0.0
2000-01-14,30382.355462568423,31433.172869509155,29697.037109375,29697.037109375,192132,0.0,0.0
2000-01-17,30153.918523729873,30382.35799382642,29148.78756727586,29331.537109375,155016,0.0,0.0
2000-01-18,29697.039583536778,30016.855519664645,29057.411101244543,29331.537109375,139516,0.0,0.0
2000-01-19,29651.348147415236,29651.348147415236,25676.514906196808,26042.015625,192379,0.0,0.0
2000-01-20,25128.266842552748,25585.144113329734,23574.882087932776,25173.955078125,280781,0.0,0.0
2000-01-21,25630.832138639456,28920.349478237316,24488.638123576056,26498.8984375,661342,0.0,0.0
2000-01-24,27915.22007417826,30473.732421874996,27412.654573654712,30473.732421875,652016,0.0,0.0
2000-01-25,30473.732780143437,32758.120829386524,29697.04125019643,31341.80078125,716636,0.0,0.0
2000-01-26,31524.551573871588,34174.44193708996,30656.483631959632,33580.5,530411,0.0,0.0
2000-01-27,33580.502877934705,34402.88096288059,32712.434861627113,33854.62890625,338354,0.0,0.0
2000-01-28,33580.502877934705,34402.88096288059,32575.371847469465,33854.62890625,301390,0.0,0.0
2000-01-31,33352.058544865264,37007.079634565955,32986.55609689887,34905.44140625,419671,0.0,0.0
2000-02-01,34905.44392695005,35636.44887567243,33580.50042360879,34220.12890625,163830,0.0,0.0
2000-02-02,32895.178713119756,35179.56640625,32438.3032084716,35179.56640625,445751,0.0,0.0
2000-02-03,34859.76224197155,34951.1387207739,33946.00762383991,34722.69921875,204935,0.0,0.0
2000-02-04,34722.69921875,34722.69921875,34722.69921875,34722.69921875,0,0.0,0.0
2000-02-07,34311.504939500956,34677.00401928798,33580.5,33580.5,155434,0.0,0.0
2000-02-08,34037.37931321789,37920.84051806226,33671.880192964054,37007.0859375,714566,0.0,0.0
2000-02-09,36961.395407505086,37692.40041612354,34768.3837716135,34951.13671875,190594,0.0,0.0
2000-02-10,34311.502424096405,34357.188958229606,32940.869110505235,34265.8125,217927,0.0,0.0
2000-02-11,33808.93898554452,34539.94052466487,32895.18112920812,33260.68359375,182654,0.0,0.0
2000-02-14,32895.1777263672,33123.61716682039,31250.42189101559,32346.92578125,210367,0.0,0.0
2000-02-15,32027.114239299,33534.807133691516,32027.114239299,32621.052734375,169547,0.0,0.0
2000-02-16,33123.61676466599,34539.93653233191,32940.867248500035,34174.4375,232819,0.0,0.0
2000-02-17,34265.816191525504,35636.44965277778,31524.55265898452,32072.8046875,749136,0.0,0.0
2000-02-18,32072.80483478835,32803.80980280838,29559.977375946746,30839.234375,316814,0.0,0.0
2000-02-21,29697.04277721347,29697.04277721347,27412.656305489454,28280.72265625,200072,0.0,0.0
2000-02-22,27184.213914523694,29240.1640625,27001.46267726035,29240.1640625,242962,0.0,0.0
2000-02-23,30153.91201715061,33626.1796875,29468.597144700983,33626.1796875,555845,0.0,0.0
2000-02-24,33626.18263999104,35133.87888172375,33626.18263999104,34677.0,404779,0.0,0.0
2000-02-25,33808.937932917346,35864.886265736335,32666.744038021985,34768.37890625,153402,0.0,0.0
2000-02-28,33397.74322768078,35819.193844968024,33123.61725439741,34814.06640625,168560,0.0,0.0
2000-02-29,36047.63823512861,37601.0212236457,34311.5057026533,35636.44921875,352429,0.0,0.0
2000-03-01,35636.44921875,35636.44921875,35636.44921875,35636.44921875,0,0.0,0.0
2000-03-02,35636.449681466125,36093.32863223921,34265.81621911045,35956.265625,160981,0.0,0.0
2000-03-03,35408.00635429287,35864.88525536533,34128.74949924584,35499.3828125,118679,0.0,0.0
2000-03-06,35590.76582913393,38377.7195033253,34722.697791112456,37007.0859375,252612,0.0,0.0
2000-03-07,36550.19922888409,37463.953616362654,35682.131374292374,36230.38671875,120731,0.0,0.0
2000-03-08,34722.69137962725,36550.2002033054,34722.69137962725,36276.07421875,96227,0.0,0.0
2000-03-09,36550.205061511326,37418.27305462804,33352.0625,33352.0625,170915,0.0,0.0
2000-03-10,36047.632367761034,37235.516075013365,35179.564547834474,36961.38671875,229780,0.0,0.0
2000-03-13,36504.51319018747,36550.1997236928,34996.816904953586,36093.32421875,125669,0.0,0.0
2000-03-14,36321.760276239824,36550.1997236928,34951.13037144825,36093.32421875,62284,0.0,0.0
2000-03-15,35408.007799035644,36276.07571251492,34996.81880527073,35864.88671875,81639,0.0,0.0
2000-03-16,35636.44864011861,37463.95760988139,35636.44864011861,36550.203125,111860,0.0,0.0
2000-03-17,37007.07958378515,37920.83400746566,36550.200676963264,37372.58203125,134521,0.0,0.0
2000-03-20,37692.40165419498,38606.15625,37052.77309813508,38606.15625,137693,0.0,0.0
